Company_name,Description,Ratings,Rating_count,No_of_reviews,Salaries,Interviews,Jobs,Benefits,Photos
Apco Infratech,Engineering & Construction | Mumbai +95 other locations,3.7,(1.5k),1.5k,4.4k,140,11,110,13
Taurus BPO Services,BPO | Pune +23 other locations,4.1,(1.5k),1.5k,978,35,3,516,6
Oberoi Group of Hotels,Hospitality | New Delhi +39 other locations,4.0,(1.5k),1.5k,3.8k,96,--,228,1
Apexon,IT Services & Consulting | Bengaluru +23 other locations,3.3,(1.5k),1.5k,9.6k,177,35,42,1
SBFC Finance,NBFC | Mumbai +218 other locations,3.8,(1.5k),1.5k,2.9k,102,84,50,6
NIIT,Education & Training | Gurugram +102 other locations,3.5,(1.5k),1.5k,6.1k,108,32,161,3
Happiest Minds Technologies,IT Services & Consulting | Bengaluru +17 other locations,3.4,(1.4k),1.4k,12.7k,152,673,96,16
Narayana Educational Society,Education & Training | Hyderabad +147 other locations,3.6,(1.4k),1.4k,4.1k,69,4,120,--
Bharat Forge,Auto Components | Pune +28 other locations,3.8,(1.4k),1.4k,6.5k,80,18,119,5
ALTEN,IT Services & Consulting | Bengaluru +28 other locations,3.6,(1.4k),1.4k,8.5k,164,52,69,7
Altimetrik,IT Services & Consulting | Bengaluru +15 other locations,3.5,(1.4k),1.4k,12.5k,266,273,109,10
Hyatt Regency,Hospitality | New Delhi +51 other locations,4.0,(1.4k),1.4k,3.1k,61,53,194,--
Aumovio,Auto Components | Bengaluru +21 other locations,3.7,(1.4k),1.4k,9.4k,82,18,132,5
Jaquar,Building Material | Gurugram +118 other locations,4.1,(1.4k),1.4k,5.2k,88,27,123,--
Chetu,Software Product | Noida +14 other locations,3.7,(1.4k),1.4k,7.3k,231,3,119,23
Acmegrade,EdTech | Bengaluru +22 other locations,3.9,(1.4k),1.4k,297,69,--,1,1
AB InBev India,Beverage | Bengaluru +76 other locations,3.3,(1.4k),1.4k,8k,118,94,146,2
Morningstar,Financial Services | Mumbai +18 other locations,3.7,(1.4k),1.4k,10.4k,266,39,125,12
Sony,Consumer Electronics & Appliances | New Delhi +143 other locations,4.2,(1.4k),1.4k,4.6k,85,15,193,1
Indegene,Analytics & KPO | Bengaluru +33 other locations,3.2,(1.4k),1.4k,9.8k,175,19,126,--
Tieto,IT Services & Consulting | Pune +13 other locations,4.1,(1.4k),1.4k,9.5k,107,16,116,26
CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),Auto Components | Pune +47 other locations,3.6,(1.4k),1.4k,5k,90,2,1,83
Agilus Diagnostics,Healthcare | Mumbai +136 other locations,4.1,(1.4k),1.4k,3.4k,86,10,131,--
Slk Software Services,IT Services & Consulting | Bengaluru +15 other locations,3.2,(1.4k),1.4k,9.4k,114,1,90,--
Fusion Finance,NBFC | New Delhi +347 other locations,3.9,(1.4k),1.4k,3.2k,60,6,78,3
Amara Raja Energy & Mobility,Auto Components | Tirupati +94 other locations,4.0,(1.4k),1.4k,4.2k,112,--,113,7
Adobe,Software Product | Bengaluru +22 other locations,3.7,(1.4k),1.4k,13.3k,273,122,155,3
Tata Group,IT Services & Consulting | Mumbai +167 other locations,4.2,(1.4k),1.4k,5.6k,383,1,145,2
Nykaa,Internet | Mumbai +115 other locations,3.4,(1.4k),1.4k,6.8k,154,13,59,5
Xiaomi,Consumer Electronics & Appliances | Bengaluru +212 other locations,3.7,(1.4k),1.4k,5.6k,113,4,133,16
Vfs Global Services,IT Services & Consulting | Mumbai +32 other locations,3.4,(1.4k),1.4k,4.3k,72,7,120,--
MedPlus,Retail | Hyderabad +146 other locations,3.5,(1.4k),1.4k,4.3k,110,54,63,1
Tenarai,Emerging Technologies | Bengaluru +23 other locations,3.5,(1.4k),1.4k,11.2k,137,104,121,174
VLCC,Beauty & Personal Care | New Delhi +110 other locations,3.3,(1.4k),1.4k,3.3k,55,53,97,--
VOIS,IT Services & Consulting | Pune +21 other locations,3.8,(1.4k),1.4k,8.6k,183,39,14,--
Sansera Engineering,Auto Components | Bengaluru +28 other locations,4.0,(1.4k),1.4k,5.6k,98,9,111,2
J. Kumar Infraprojects,Engineering & Construction | Mumbai +41 other locations,4.1,(1.4k),1.4k,4.5k,94,4,116,4
Eaton,Electronics Manufacturing | Pune +22 other locations,4.0,(1.4k),1.4k,8.1k,149,--,128,10
DCM Shriram,Chemicals | Bharuch +109 other locations,4.1,(1.4k),1.4k,4.9k,109,2,121,1
City Union Bank,Banking | Chennai +196 other locations,2.9,(1.4k),1.4k,5.7k,125,6,63,6
Oracle Financial Services Software,Software Product | Bengaluru +22 other locations,3.3,(1.4k),1.4k,10.7k,196,--,186,7
The Muthoot Group,Financial Services | New Delhi +310 other locations,3.6,(1.4k),1.4k,3.7k,84,--,227,10
AtkinsRealis,Engineering & Construction | Bengaluru +55 other locations,3.7,(1.4k),1.4k,6.1k,109,353,92,11
Unisys,IT Services & Consulting | Bengaluru +18 other locations,3.4,(1.4k),1.4k,10.1k,81,20,148,--
IDC Technologies,IT Services & Consulting | Noida +66 other locations,3.1,(1.4k),1.4k,6.8k,76,--,48,13
Hire In Global,Recruitment | Mumbai +62 other locations,4.9,(1.4k),1.4k,8,300,--,29,--
TEKsystems,IT Services & Consulting | Bengaluru +18 other locations,3.1,(1.4k),1.4k,11.2k,139,16,81,2
EOSGlobe,BPO | Mumbai +29 other locations,2.9,(1.4k),1.4k,4k,91,8,85,3
FedEx Express,Logistics | Mumbai +94 other locations,4.0,(1.4k),1.4k,5.2k,113,103,189,2
TÜV SÜD,"Testing, Inspection and Certification (TIC) | Bengaluru +133 other locations",4.0,(1.4k),1.4k,3.9k,105,142,100,--
Kantar,Analytics & KPO | Bengaluru +44 other locations,3.5,(1.4k),1.4k,6.8k,119,1,78,1
Worley,Engineering & Construction | Mumbai +56 other locations,4.1,(1.4k),1.4k,7.4k,140,101,115,--
TCS iON,IT Services & Consulting | Hyderabad +113 other locations,3.8,(1.4k),1.4k,4k,408,--,181,1
Citco,Management Consulting | Pune +13 other locations,3.1,(1.4k),1.4k,9.8k,172,75,50,--
Sunknowledge Services,BPO | Kolkata +13 other locations,3.4,(1.4k),1.4k,3.9k,108,12,206,1
Aerial Telecom Solutions,Telecom | Sahibzada Ajit Singh Nagar +114 other locations,4.2,(1.4k),1.4k,2.3k,124,26,38,3
iMerit,IT Services & Consulting | Kolkata +22 other locations,3.2,(1.4k),1.4k,5.6k,118,8,98,--
Novo Nordisk,Pharma | Bengaluru +74 other locations,3.7,(1.4k),1.4k,6.5k,100,111,130,10
Rashmi Metaliks,Iron & Steel | Kharagpur +43 other locations,3.1,(1.4k),1.4k,4.8k,117,5,63,5
Fino Payments Bank,Banking | Mumbai +275 other locations,3.8,(1.4k),1.4k,4k,63,19,96,7
Sharekhan,Financial Services | Mumbai +114 other locations,3.7,(1.4k),1.4k,5.2k,100,80,116,--
Amity University,Education & Training | Noida +85 other locations,3.6,(1.4k),1.4k,5.2k,116,25,123,2
Bajaj Housing Finance,NBFC | Pune +166 other locations,3.5,(1.4k),1.4k,5.9k,71,84,59,5
Incedo,IT Services & Consulting | Gurugram +13 other locations,2.9,(1.4k),1.4k,10.4k,207,53,114,17
Paytm Payments Bank,Banking | Noida +136 other locations,3.8,(1.4k),1.4k,5.6k,142,--,118,--
JSW Cement,Building Material | Mumbai +147 other locations,4.1,(1.4k),1.4k,4.4k,139,19,108,13
Faurecia,Auto Components | Pune +28 other locations,3.9,(1.4k),1.4k,6k,72,21,181,1
Aforeserve,IT Services & Consulting | Mumbai +159 other locations,3.4,(1.4k),1.4k,3.6k,93,30,89,3
INDIUM,IT Services & Consulting | Chennai +13 other locations,4.0,(1.4k),1.4k,7.1k,258,106,52,65
Bharat FIH,Electronics Manufacturing | Chennai +39 other locations,3.7,(1.4k),1.4k,5.3k,91,--,76,1
R Systems International,IT Services & Consulting | Noida +23 other locations,3.7,(1.4k),1.4k,7.5k,159,41,113,18
Sheenlac Paints,Chemicals | Chennai +163 other locations,4.1,(1.3k),1.3k,1.7k,210,--,44,138
Iffco Tokio General Insurance Co.,Insurance | Gurugram +282 other locations,3.8,(1.3k),1.3k,4.1k,51,--,113,6
Burger King,Hospitality | New Delhi +112 other locations,3.9,(1.3k),1.3k,3.5k,99,5,135,6
The Ramco Cements,Building Material | Chennai +125 other locations,4.1,(1.3k),1.3k,4.3k,515,--,100,4
Unichem Laboratories,Pharma | Ghaziabad +77 other locations,3.6,(1.3k),1.3k,5.2k,95,53,125,--
DEXIT Global,IT Services & Consulting | Mumbai +151 other locations,3.5,(1.3k),1.3k,5.9k,139,2,113,--
Aptara,Content Development | Noida +15 other locations,3.1,(1.3k),1.3k,6.4k,78,8,114,5
TE Connectivity,Electronics Manufacturing | Bengaluru +23 other locations,4.1,(1.3k),1.3k,7.5k,102,143,149,15
Collabera Talent Solutions,Recruitment | Bengaluru +43 other locations,3.5,(1.3k),1.3k,6.9k,152,4,110,--
GE,Defence & Aerospace | Bengaluru +76 other locations,4.1,(1.3k),1.3k,7.5k,116,16,180,--
FDC,Pharma | Mumbai +129 other locations,3.7,(1.3k),1.3k,3.7k,70,28,86,5
Grant Thornton,Accounting & Auditing | Bengaluru +59 other locations,3.4,(1.3k),1.3k,11.6k,120,304,84,--
Brillio,IT Services & Consulting | Bengaluru +14 other locations,3.4,(1.3k),1.3k,10.7k,141,112,77,25
Hindware Limited,Building Material | Hyderabad +133 other locations,3.9,(1.3k),1.3k,4.6k,88,7,130,2
GEP Worldwide,IT Services & Consulting | Mumbai +17 other locations,3.6,(1.3k),1.3k,9.6k,157,16,128,12
CreditAccess Grameen,NBFC | Bengaluru +351 other locations,4.0,(1.3k),1.3k,2.6k,54,15,71,14
JioMart,Retail | Mumbai +296 other locations,3.9,(1.3k),1.3k,4.2k,118,--,78,6
ZF Steering Gear,Auto Components | Hyderabad +35 other locations,3.7,(1.3k),1.3k,7.3k,60,4,97,3
Hatsun Agro Product,Food Processing | Chennai +127 other locations,3.8,(1.3k),1.3k,4.7k,84,8,104,1
Big Bazaar,Retail | New Delhi +158 other locations,4.4,(1.3k),1.3k,2.2k,47,--,191,1
CenturyPly,Furniture & Furnishing | Kolkata +147 other locations,3.9,(1.3k),1.3k,4.3k,97,54,60,13
ManpowerGroup,Recruitment | Bengaluru +151 other locations,3.6,(1.3k),1.3k,5.2k,71,191,83,14
VIBGYOR Group of Schools,Education & Training | Bengaluru +37 other locations,3.5,(1.3k),1.3k,4.2k,100,251,102,--
RBL FinServe,Financial Services | Mumbai +366 other locations,3.9,(1.3k),1.3k,3k,66,--,81,6
Cinépolis,Media & Entertainment | New Delhi +61 other locations,3.8,(1.3k),1.3k,2.9k,82,--,151,1
Shubham Housing Development Finance,NBFC | New Delhi +160 other locations,3.9,(1.3k),1.3k,2.9k,52,7,76,9
Decathlon,Retail | Bengaluru +71 other locations,3.7,(1.3k),1.3k,4.3k,120,147,118,20
Baroda Global Shared Services,BPO | Gandhinagar +181 other locations,3.8,(1.3k),1.3k,3k,129,41,30,5
Spicejet,Aviation | New Delhi +60 other locations,3.2,(1.3k),1.3k,5.1k,105,2,155,4
Nippon Paint India,Chemicals | Chennai +163 other locations,4.0,(1.3k),1.3k,4.1k,81,--,85,11
Punjab National Bank,Banking | New Delhi +218 other locations,3.9,(1.3k),1.3k,3k,63,--,97,6
OM Logistics,Logistics | New Delhi +124 other locations,3.9,(1.3k),1.3k,3.9k,93,2,105,1
More Supermarket,Retail | Bengaluru +164 other locations,3.6,(1.3k),1.3k,4k,94,25,58,1
Viraj Profiles,Iron & Steel | Mumbai +28 other locations,4.0,(1.3k),1.3k,4.5k,100,--,147,2
NetAmbit,BPO | Noida +155 other locations,4.0,(1.3k),1.3k,3.2k,171,3,38,7
Atul,Chemicals | Valsad +64 other locations,3.9,(1.3k),1.3k,5.2k,101,1,114,8
Troikaa Pharmaceuticals,Pharma | Ahmedabad +106 other locations,4.1,(1.3k),1.3k,3.9k,117,20,81,6
Astral Pipe,Building Material | Ahmedabad +144 other locations,3.9,(1.3k),1.3k,4.1k,95,50,32,3
Mondelez International,Food Processing | Mumbai +202 other locations,4.1,(1.3k),1.3k,4.7k,75,96,130,10
Bluestock ™,FinTech | Pune +44 other locations,4.5,(1.3k),1.3k,62,387,--,1,1
Fabindia,Retail | New Delhi +82 other locations,3.7,(1.3k),1.3k,4.1k,61,44,120,4
Ion Exchange India,Waste Management | Mumbai +128 other locations,3.7,(1.3k),1.3k,5.2k,98,56,89,5
Luminous Power Technologies,Consumer Electronics & Appliances | Gurugram +134 other locations,4.2,(1.3k),1.3k,4.1k,100,32,128,--
Hindustan Construction Company,Engineering & Construction | Mumbai +93 other locations,4.2,(1.3k),1.3k,3.2k,95,2,158,1
SK Finance Limited,NBFC | Jaipur +274 other locations,3.8,(1.3k),1.3k,3.6k,88,--,15,31
ICICI Prudential Mutual Fund,Financial Services | Mumbai +170 other locations,3.9,(1.3k),1.3k,5.7k,88,--,89,--
Pantaloons,Retail | Mumbai +156 other locations,4.1,(1.3k),1.3k,3.1k,69,--,133,5
Globant,IT Services & Consulting | Pune +17 other locations,3.4,(1.3k),1.3k,10.4k,206,67,102,9
OpenText Technologies,Software Product | Bengaluru +14 other locations,3.3,(1.3k),1.3k,12.2k,196,6,88,3
NxtWave,EdTech | Hyderabad +54 other locations,3.6,(1.3k),1.3k,3.3k,291,88,16,1
Royal Migration Solutions,Other | Dubai +12 other locations,4.9,(1.3k),1.3k,5,1,--,1,--
Samsung Research,IT Services & Consulting | Bengaluru +21 other locations,3.0,(1.3k),1.3k,9.8k,150,1,142,--
Centre for Development of Advanced Computing,IT Services & Consulting | Pune +41 other locations,3.7,(1.3k),1.3k,6.9k,126,2,62,--
Jakson Group,Power | Noida +103 other locations,4.1,(1.3k),1.3k,3.9k,107,13,99,2
T-Systems ICT India,IT Services & Consulting | Pune +16 other locations,3.7,(1.3k),1.3k,8.9k,112,6,92,14
Aarvee Associates,Engineering & Construction | Hyderabad +178 other locations,3.6,(1.3k),1.3k,3.3k,100,--,103,2
Vestas,Power | Chennai +51 other locations,4.1,(1.3k),1.3k,5.3k,99,24,135,6
Sigma Electric Manufacturing Corporation,Industrial Machinery | Pune +24 other locations,4.0,(1.3k),1.3k,2.8k,78,11,206,7
Apex Group,Financial Services | Pune +28 other locations,2.7,(1.3k),1.3k,8.2k,185,378,32,4
ANZ Banking Group,Banking | Bengaluru +17 other locations,3.8,(1.3k),1.3k,8.3k,107,27,102,--
Electronics Corporation of India Limited,Electronics Manufacturing | Hyderabad +57 other locations,4.2,(1.3k),1.3k,3.2k,61,--,106,3
Panasonic,Consumer Electronics & Appliances | Gurugram +124 other locations,4.0,(1.3k),1.3k,4.8k,51,21,149,--
AGS Transact Technologies,FinTech | Mumbai +123 other locations,2.8,(1.3k),1.3k,3.7k,43,--,129,1
Automotive Manufacturers,Automobile | Hyderabad +150 other locations,3.8,(1.3k),1.3k,5.2k,104,44,76,2
Tenneco,Auto Components | Pune +45 other locations,3.6,(1.3k),1.3k,5.3k,72,14,116,--
Godrej Consumer Products,FMCG | Mumbai +149 other locations,4.0,(1.3k),1.3k,4.9k,62,--,120,5
Dell EMC,IT Services & Consulting | Bengaluru +53 other locations,3.7,(1.3k),1.3k,8.5k,74,--,192,1
Spandana Sphoorty Financial,NBFC | Hyderabad +361 other locations,3.7,(1.3k),1.3k,2.4k,52,9,85,9
Fresenius Kabi,Pharma | Pune +65 other locations,4.0,(1.2k),1.2k,4.1k,58,28,117,8
Intertek,"Testing, Inspection and Certification (TIC) | New Delhi +116 other locations",3.7,(1.2k),1.2k,4.1k,85,74,115,9
SKF,Auto Components | Pune +71 other locations,4.0,(1.2k),1.2k,4.6k,77,66,150,3
PNC Infratech,Engineering & Construction | Agra +96 other locations,3.8,(1.2k),1.2k,3.5k,83,--,79,6
H.G. Infra Engineering,Engineering & Construction | Jaipur +99 other locations,4.0,(1.2k),1.2k,3.2k,109,--,91,11
iSON Xperiences,BPO | Chennai +43 other locations,3.2,(1.2k),1.2k,3.3k,80,10,92,2
KIMS Hospital,Healthcare | Hyderabad +60 other locations,3.8,(1.2k),1.2k,3.7k,63,7,79,3
Mu Sigma,Analytics & KPO | Bengaluru +16 other locations,2.5,(1.2k),1.2k,6.8k,252,--,123,11
Jindal X,BPO | New Delhi +22 other locations,3.5,(1.2k),1.2k,2.8k,114,8,155,1
Kalpataru Limited,Real Estate | Mumbai +84 other locations,4.1,(1.2k),1.2k,4.5k,271,19,81,2
Zoho,Software Product | Chennai +37 other locations,4.2,(1.2k),1.2k,10k,586,--,101,24
Prodapt,IT Services & Consulting | Chennai +16 other locations,3.5,(1.2k),1.2k,9.9k,117,63,75,11
Synchrony,Financial Services | Hyderabad +9 other locations,4.3,(1.2k),1.2k,5.5k,95,21,200,23
DP World,Logistics | Mumbai +84 other locations,3.8,(1.2k),1.2k,5.2k,101,158,66,8
Dassault Systemes,Software Product | Pune +13 other locations,3.7,(1.2k),1.2k,7.3k,188,1,135,3
Shriram Pistons & Rings,Auto Components | Bhiwadi +61 other locations,4.0,(1.2k),1.2k,4.5k,76,2,136,4
Oil And Natural Gas Corporation,Oil & Gas | Mumbai +84 other locations,4.3,(1.2k),1.2k,3k,80,--,139,2
AIIMS,Education & Training | New Delhi +77 other locations,4.1,(1.2k),1.2k,4.6k,67,--,68,20
Rupeek,FinTech | Bengaluru +55 other locations,4.1,(1.2k),1.2k,3.3k,133,23,56,2
Rockman Industries,Auto Components | Haridwar +41 other locations,3.8,(1.2k),1.2k,3.8k,95,19,101,2
Parexel International,Clinical Research | Hyderabad +25 other locations,3.8,(1.2k),1.2k,6k,87,2,125,9
Wind World,Power | Jaisalmer +85 other locations,4.0,(1.2k),1.2k,3.3k,88,7,122,--
Diageo,Beverage | Bengaluru +99 other locations,3.8,(1.2k),1.2k,6.4k,93,69,102,2
DLF,Real Estate | Gurugram +35 other locations,4.0,(1.2k),1.2k,4.9k,99,--,74,7
Colliers India,Real Estate | Bengaluru +49 other locations,3.9,(1.2k),1.2k,4.9k,99,80,80,10
Indostar Capital Finance Limited,NBFC | Mumbai +332 other locations,4.3,(1.2k),1.2k,2.1k,200,1,38,6
Qualcomm,Semiconductors | Hyderabad +18 other locations,3.7,(1.2k),1.2k,15.1k,300,11,134,2
Fidelity Investments,Financial Services | Bengaluru +19 other locations,4.1,(1.2k),1.2k,8.1k,128,1,161,--
Nielsen,Analytics & KPO | Bengaluru +74 other locations,3.1,(1.2k),1.2k,6.7k,159,1,129,7
JTEKT,Auto Components | Gurugram +30 other locations,4.1,(1.2k),1.2k,4.4k,96,4,94,4
EbixCash Limited,Software Product | Noida +86 other locations,3.6,(1.2k),1.2k,5.1k,110,--,73,1
Kirloskar Oil Engines,Industrial Machinery | Pune +109 other locations,4.1,(1.2k),1.2k,4.2k,65,11,98,1
DENSO,Auto Components | Gurugram +39 other locations,4.1,(1.2k),1.2k,3.8k,85,1,176,7
Best Sellers,Retail | Mumbai +92 other locations,4.1,(1.2k),1.2k,3k,34,5,130,4
ExcelR,Education & Training | Bengaluru +25 other locations,3.6,(1.2k),1.2k,1.1k,109,55,3,10
PHN Technology,EdTech | Pune +32 other locations,4.3,(1.2k),1.2k,377,42,3,2,8
Ahluwalia Contracts India,Engineering & Construction | New Delhi +55 other locations,4.0,(1.2k),1.2k,3.5k,77,23,70,2
Fidelity National Financial,Financial Services | Bengaluru +16 other locations,3.7,(1.2k),1.2k,6.1k,61,3,154,7
Strides Pharma,Pharma | Bengaluru +43 other locations,3.8,(1.2k),1.2k,4.4k,79,--,151,9
Intel,Semiconductors | Bengaluru +38 other locations,4.1,(1.2k),1.2k,9.3k,242,--,92,8
Genius HRTech,Recruitment | Kolkata +108 other locations,3.8,(1.2k),1.2k,4k,73,1,71,--
Leadec India,Facility Management Services | Pune +82 other locations,4.1,(1.2k),1.2k,3.5k,152,31,87,42
ACG Worldwide,Pharma | Mumbai +31 other locations,3.8,(1.2k),1.2k,4k,86,62,45,5
JK Lakshmi Cement,Building Material | New Delhi +141 other locations,3.7,(1.2k),1.2k,3.7k,81,--,97,2
Baazar Retail Private Limited,Retail | Kolkata +109 other locations,4.5,(1.2k),1.2k,1.5k,85,1,17,12
Innova Solutions,IT Services & Consulting | Hyderabad +37 other locations,3.3,(1.2k),1.2k,8.1k,104,53,18,1
FOCUS EDUMATICS,EdTech | Coimbatore +35 other locations,2.9,(1.2k),1.2k,3.1k,126,--,39,20
Federal Bank,Banking | Mumbai +155 other locations,3.6,(1.2k),1.2k,5.7k,121,--,73,--
Zetwerk,Industrial Machinery | Bengaluru +122 other locations,4.0,(1.2k),1.2k,4.1k,118,35,57,152
Sri Chaitanya Techno Schools,Education & Training | Bengaluru +171 other locations,3.5,(1.2k),1.2k,3.5k,76,--,1,1
Electronica Finance,NBFC | Pune +174 other locations,4.1,(1.2k),1.2k,2.9k,142,25,34,20
Thyrocare Technologies,Healthcare | Mumbai +77 other locations,3.7,(1.2k),1.2k,4.4k,88,14,92,4
PayPal,FinTech | Bengaluru +15 other locations,3.7,(1.2k),1.2k,10k,243,--,121,6
Salesforce,Software Product | Hyderabad +40 other locations,3.9,(1.2k),1.2k,14.4k,251,324,105,18
Prism Johnson,Building Material | Mumbai +147 other locations,3.7,(1.2k),1.2k,4.5k,71,19,64,3
HFCL Limited,Telecom | Hyderabad +112 other locations,3.8,(1.2k),1.2k,4.2k,86,1,90,2
Meril,Medical Equipment | Vapi +84 other locations,3.6,(1.2k),1.2k,5k,88,26,75,44
Indira IVF Hospital,Healthcare | Mumbai +105 other locations,3.9,(1.2k),1.2k,3k,78,35,78,7
Barclays Shared Services,Financial Services | Chennai +17 other locations,3.8,(1.2k),1.2k,4.7k,38,778,178,--
Aptiv,Auto Components | Bengaluru +26 other locations,3.4,(1.2k),1.2k,8.5k,124,6,47,23
Podar International School,Education & Training | Mumbai +125 other locations,4.1,(1.2k),1.2k,3.2k,82,8,114,9
Aparna Constructions and Estates,Real Estate | Hyderabad +22 other locations,3.9,(1.2k),1.2k,4k,113,57,96,23
Ocwen Financial Solutions,Financial Services | Bengaluru +9 other locations,3.8,(1.2k),1.2k,4.3k,53,30,170,1
The Jaypee Group,Engineering & Construction | Noida +107 other locations,3.9,(1.2k),1.2k,3.4k,51,12,115,1
Schaeffler India,Auto Components | Vadodara +28 other locations,4.1,(1.2k),1.2k,5.7k,66,4,107,9
Johnson Lifts,Industrial Machinery | Chennai +75 other locations,3.9,(1.2k),1.2k,3.6k,50,10,92,1
Coca-Cola Company,Beverage | Bengaluru +208 other locations,4.0,(1.2k),1.2k,3.4k,107,--,104,4
Apollo Health and Lifestyle Limited,Healthcare | Hyderabad +94 other locations,4.3,(1.2k),1.2k,3.5k,118,64,68,59
Birla Corporation,Building Material | Satna +146 other locations,4.1,(1.2k),1.2k,3.8k,75,12,84,7
Balkrishna Industries,Auto Components | Bhuj +35 other locations,4.0,(1.2k),1.2k,4.3k,67,--,54,--
London Stock Exchange Group,Financial Services | Bengaluru +11 other locations,3.6,(1.2k),1.2k,11.2k,159,2,54,--
MDIndia Health Insurance TPA,Insurance | Pune +94 other locations,3.6,(1.1k),1.1k,3.7k,71,33,86,3
Nilkamal,Furniture & Furnishing | Mumbai +113 other locations,3.7,(1.1k),1.1k,3.7k,82,12,94,--
Edelweiss,Financial Services | Mumbai +114 other locations,3.6,(1.1k),1.1k,5.5k,63,--,132,--
Dhoot Transmission,Auto Components | Chhatrapati Sambhajinagar +43 other locations,3.7,(1.1k),1.1k,3.9k,69,10,107,3
Dishtv,Broadcasting | Noida +151 other locations,3.4,(1.1k),1.1k,3.3k,77,15,104,1
Deccan Fine Chemicals,Agro Chemicals | Tuni +31 other locations,3.6,(1.1k),1.1k,5.2k,107,8,61,--
Biocon Biologics,Biotechnology | Bengaluru +27 other locations,3.7,(1.1k),1.1k,6.9k,111,3,353,14
CaratLane - A Tata Product,Jewellery | Chennai +87 other locations,4.0,(1.1k),1.1k,3.1k,68,10,79,49
Imperial Auto Industries,Auto Components | Faridabad +37 other locations,3.8,(1.1k),1.1k,4.9k,79,11,67,13
Edelweiss Life Insurance,Insurance | Mumbai +124 other locations,3.7,(1.1k),1.1k,3.7k,59,39,96,2
Motilal Oswal Home Finance,NBFC | Mumbai +130 other locations,4.3,(1.1k),1.1k,1.4k,127,--,23,10
Bajaj Motors,Auto Components | Gurugram +91 other locations,3.9,(1.1k),1.1k,3.4k,69,13,109,--
IIFL Home Finance,NBFC | Gurugram +265 other locations,3.8,(1.1k),1.1k,2.8k,58,1.7k,16,2
Kohler,Building Material | Pune +52 other locations,3.7,(1.1k),1.1k,5.1k,78,7,75,13
INDO-MIM,Metals & Mining | Bengaluru +35 other locations,4.0,(1.1k),1.1k,4.4k,78,5,115,--
Jacobs Engineering Group,Engineering & Construction | Mumbai +41 other locations,4.1,(1.1k),1.1k,5.3k,91,18,92,1
Piaggio,Automobile | Pune +84 other locations,3.6,(1.1k),1.1k,3.9k,74,37,123,4
Stanza Living,Internet | Bengaluru +37 other locations,3.3,(1.1k),1.1k,3.6k,112,21,70,34
Barbeque Nation,Hospitality | Bengaluru +83 other locations,3.9,(1.1k),1.1k,2.7k,50,17,119,23
Onward Technologies Inc,IT Services & Consulting | Pune +64 other locations,2.9,(1.1k),1.1k,6.2k,93,31,42,16
Jabil Circuit India,Electronics Manufacturing | Pune +30 other locations,4.0,(1.1k),1.1k,4.3k,66,70,90,1
Unicharm,FMCG | Gurugram +192 other locations,3.9,(1.1k),1.1k,2.8k,66,1,105,--
Navitasys India,Electronics Manufacturing | Bawal +28 other locations,4.1,(1.1k),1.1k,2.7k,145,5,55,4
Wonder Home Finance,NBFC | Jaipur +120 other locations,4.6,(1.1k),1.1k,768,192,3,9,31
Asirvad Microfinance,NBFC | Chennai +322 other locations,3.8,(1.1k),1.1k,2.3k,48,--,61,16
Advantmed,Healthcare | Ahmedabad +16 other locations,4.1,(1.1k),1.1k,2.7k,171,27,54,5
Wistron,Electronics Manufacturing | Bengaluru +22 other locations,4.0,(1.1k),1.1k,5.1k,93,--,131,2
V2 Retail,Retail | New Delhi +137 other locations,3.3,(1.1k),1.1k,2.6k,91,44,86,13
TK Elevator,Industrial Machinery | Pune +80 other locations,3.8,(1.1k),1.1k,4.2k,66,7,97,1
Air India Sats Airport Services,Aviation | New Delhi +46 other locations,3.6,(1.1k),1.1k,2.5k,68,--,70,--
MAHLE ANAND Filter Systems,Auto Components | Pune +40 other locations,3.9,(1.1k),1.1k,3.5k,42,--,110,2
MG Motor,Automobile | Vadodara +101 other locations,3.9,(1.1k),1.1k,4.8k,80,28,77,1
Zydus Wellness,FMCG | Ahmedabad +130 other locations,4.1,(1.1k),1.1k,2.7k,106,10,74,9
Sundaram Finance,NBFC | Chennai +250 other locations,3.9,(1.1k),1.1k,3k,47,489,88,9
Hyundai Mobis,Auto Components | Chennai +47 other locations,3.7,(1.1k),1.1k,5.2k,80,12,126,6
Svatantra Microfin,NBFC | Mumbai +337 other locations,3.9,(1.1k),1.1k,2.2k,46,9,76,18
One Point One Solutions Ltd.,BPO | Bengaluru +18 other locations,3.4,(1.1k),1.1k,3.1k,84,80,89,2
Sri Chaitanya Educational Institutions,Education & Training | Hyderabad +103 other locations,3.6,(1.1k),1.1k,3k,52,2,67,10
Hikal,Pharma | Bengaluru +22 other locations,3.8,(1.1k),1.1k,4.7k,76,70,86,4
Kirloskar Brothers,Industrial Machinery | Pune +74 other locations,3.7,(1.1k),1.1k,4.5k,93,40,97,12
VMware Software,Software Product | Bengaluru +17 other locations,4.4,(1.1k),1.1k,8.9k,146,21,130,--
TÜV NORD,"Testing, Inspection and Certification (TIC) | Pune +91 other locations",3.7,(1.1k),1.1k,4k,81,31,68,1
